,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
âne,donkey,AF,75,5.30,2.16,3.46,2.40,5.00,1.62,3.12,2.09,5.55,2.54,3.75,2.65,3,2,1,NOUN,12.33,14.32,6.42,1,,,,1
ange ,angel,B,9,7.59,1.40,4.41,2.76,7.47,1.46,4.35,2.87,7.70,1.38,4.45,2.74,4,2,1,NOUN,47.90,21.62,6.50,1,,,,
année,year,,,4.86,2.23,3.84,2.76,4.94,1.89,3.12,2.62,4.80,2.53,4.45,2.80,5,3,2,NOUN,129.64,128.99,3.37,,,,,1
antenne ,aerial,B,12,4.80,1.28,2.96,1.96,4.61,1.58,3.67,1.88,4.91,1.09,2.56,1.92,7,4,2,NOUN,10.08,3.65,6.35,1,,,,
anxiété,anxiety,,,1.99,1.56,6.37,2.92,2.63,1.30,4.00,2.78,1.92,1.57,6.63,2.83,7,7,3,NOUN,2.92,9.86,2.81,,,,,1
appareil,device,,,5.27,1.90,4.03,2.54,4.94,1.95,4.18,2.58,5.55,1.85,3.90,2.57,8,6,3,NOUN,44.20,35.88,4.38,,,,,
aptitude,skill,,,6.71,1.36,5.06,2.33,6.67,1.61,4.67,3.08,6.72,1.32,5.14,2.19,8,7,3,NOUN,1.76,2.70,2.52,,,,,1
aquarium,aquarium,,,6.60,1.43,3.30,2.31,5.78,1.64,3.78,2.49,6.71,1.37,3.24,2.29,8,8,3,NOUN,3.94,5.20,6.57,,,,,1
araignée,spider,AF,212,3.30,2.09,5.78,2.74,3.94,2.22,5.82,2.48,2.75,1.86,5.75,3.01,8,5,3,NOUN,12.21,12.36,6.91,1,,,,1
arbre,tree,AF,241,6.45,2.16,3.42,2.31,6.76,2.19,2.88,2.37,6.19,2.16,3.86,2.22,5,4,1,NOUN,49.29,67.16,6.91,1,,,,1
arc ,bow,B,13,4.73,1.74,3.62,2.49,5.65,1.32,4.00,2.85,3.95,1.70,3.30,2.15,3,3,1,NOUN,4.52,14.05,6.01,1,,,,1
ardu,laborious,,,4.20,1.71,4.62,2.37,4.63,0.92,4.00,2.45,4.15,1.77,4.69,2.36,4,4,2,ADJ,0.61,2.43,,,,,,1
argent,money,,,6.65,2.35,6.24,2.28,6.06,2.68,5.71,2.66,7.15,1.95,6.70,1.84,6,4,2,NOUN,515.04,194.32,6.51,1,,,,1
arme,weapon,,,3.80,2.70,5.10,2.81,5.17,2.98,6.11,2.45,3.03,2.22,4.53,2.87,4,3,1,NOUN,114.40,37.09,6.12,,,,,1
armée,army,,,2.79,1.91,6.01,2.58,3.33,1.61,6.08,2.68,2.69,1.95,6.00,2.58,5,4,2,NOUN,93.97,114.46,6.10,,,,,1
armoire,closet,,,5.14,0.87,3.13,1.81,4.89,1.27,3.67,1.73,5.18,0.81,3.06,1.82,7,6,2,NOUN,9.05,38.58,6.54,1,,,,1
arrosoir,watering can,AF,251,4.78,1.70,2.97,2.41,5.29,1.49,3.24,2.75,4.35,1.79,2.75,2.12,8,7,3,NOUN,0.37,3.04,6.39,1,,,,1
art,art,,,7.19,1.70,5.03,2.54,7.00,1.85,4.75,2.71,7.21,1.70,5.06,2.53,3,2,1,NOUN,65.93,81.49,4.66,,,,,1
artichaut,artichoke,,,5.01,2.10,3.39,2.05,4.92,1.78,3.75,2.05,5.03,2.16,3.32,2.05,9,6,3,NOUN,1.45,0.95,5.13,1,,,,1
aspect,appearance,,,5.12,1.16,3.74,2.09,4.11,1.36,5.00,2.06,5.25,1.07,3.57,2.05,6,4,2,NOUN,9.88,36.01,1.98,,,,,1
asperge,asparagus,,,5.15,2.06,3.37,2.06,4.75,2.19,3.00,2.14,5.20,2.05,3.41,2.06,7,6,2,NOUN,0.71,5.88,6.54,1,,,,1
aspirateur ,vacuum cleaner,B,15,3.62,2.15,3.76,2.78,4.47,2.24,4.47,2.79,2.90,1.83,3.15,2.70,10,9,4,NOUN,4.33,3.04,6.27,1,,,,1
assiette ,plate,B,16,5.59,1.89,3.73,2.24,5.71,1.83,3.76,2.31,5.50,1.99,3.70,2.25,8,5,2,NOUN,14.88,36.28,6.82,1,,,,1
astronaute,astronaut,,,5.87,1.53,4.77,2.44,6.75,1.91,5.00,3.16,5.71,1.41,4.72,2.32,10,8,3,NOUN,3.71,0.14,6.50,1,,,,1
astuce,trick,,,6.66,1.26,4.82,2.20,5.67,1.00,4.00,2.00,6.79,1.24,4.93,2.22,6,5,2,NOUN,2.74,3.58,2.06,,,,,1
atrocité,atrocity,,,1.35,0.85,6.48,2.54,1.88,0.99,7.38,1.85,1.30,0.82,6.38,2.60,8,8,4,NOUN,0.96,0.74,,,,,,1
attention,attention,,,5.73,1.44,5.04,2.14,5.50,1.00,5.00,2.76,5.77,1.51,5.05,2.03,9,6,3,NOUN,156.90,119.66,2.72,,,,,1
attitude,attitude,,,5.73,1.17,4.05,2.13,4.89,0.33,4.00,1.58,5.84,1.19,4.06,2.21,8,6,3,NOUN,21.37,57.50,2.58,,,,,1
autre,other,,,4.89,1.29,3.78,2.47,5.06,1.14,4.29,2.47,4.75,1.41,3.35,2.46,5,3,1,NOUN,6.25,6.49,1.90,,,,,
autruche,ostrich,AF,159,5.11,2.00,3.49,2.74,5.76,1.15,2.94,2.77,4.55,2.39,3.95,2.70,8,5,2,NOUN,2.79,2.43,6.59,1,,,,1
avenir,future,,,6.38,2.67,6.03,2.82,6.41,2.53,6.12,2.80,6.35,2.85,5.95,2.91,6,6,3,NOUN,72.47,113.18,2.76,,,,,1
avion,airplane,AF,2,6.22,2.33,6.41,2.24,6.24,2.49,6.41,2.03,6.20,2.26,6.40,2.46,5,4,2,NOUN,105.54,46.82,6.76,1,,,,1
avocat,avocado,AF,326,3.84,2.40,3.18,2.40,4.24,2.61,4.00,2.62,3.52,2.23,2.52,2.04,6,5,3,NOUN,89.28,24.32,5.76,1,,,,
bague,ring,AF,187,6.27,2.04,4.86,2.84,5.59,1.84,3.18,2.32,6.85,2.06,6.30,2.45,5,3,1,NOUN,26.14,16.08,6.90,1,,,,1
baguette ,rod,B,19,6.34,1.77,3.42,2.00,6.29,1.83,3.59,2.03,6.38,1.77,3.29,2.00,8,5,2,NOUN,5.67,9.46,6.10,1,,,,
baignoire ,bathtub,B,20,6.92,1.63,4.26,2.90,6.71,1.79,3.35,2.60,7.10,1.51,5.00,2.98,9,6,2,NOUN,11.90,14.12,6.76,1,,,,1
bain,bath,,,7.46,1.52,4.35,2.81,7.53,1.33,5.06,2.90,7.40,1.70,3.75,2.65,4,2,1,NOUN,50.52,43.11,6.76,,,,,1
baisse,fall/drop,,,3.81,1.35,3.70,2.55,3.76,1.39,4.18,2.27,3.85,1.35,3.30,2.75,6,3,1,NOUN,11.55,3.38,2.70,,,,,
balai,broom,AF,37,4.38,1.65,3.08,2.01,4.44,1.25,3.44,1.69,4.34,1.86,2.88,2.17,5,4,2,NOUN,8.24,11.96,6.67,1,,,,1
balance,scale,AF,309,3.84,2.11,2.78,2.46,4.35,2.29,2.53,1.77,3.40,1.90,3.00,2.96,7,5,2,NOUN,7.74,8.18,5.28,1,,,,
balançoire,swing,AF,225,6.70,1.56,5.14,2.32,6.35,1.62,4.53,2.32,7.00,1.49,5.65,2.25,10,8,3,NOUN,1.93,1.89,6.59,1,,,,1
balcon ,balcony,B,21,5.58,1.65,3.58,2.34,5.53,1.46,3.06,1.92,5.62,1.83,4.00,2.61,6,5,2,NOUN,9.90,32.97,6.49,1,,,,
baleine,whale,AF,397,5.84,1.83,4.04,2.52,4.83,1.47,4.00,2.47,6.41,1.79,4.06,2.59,7,5,2,NOUN,11.52,3.11,6.88,1,,,,1
balle,ball,AF,14,5.70,2.44,4.68,2.93,6.00,2.45,5.18,2.74,5.45,2.46,4.25,3.08,5,3,1,NOUN,77.32,44.73,6.61,1,,,,1
ballon,balloon,AF,15,5.51,1.85,3.81,2.42,5.47,2.15,3.18,2.43,5.55,1.61,4.35,2.35,6,4,2,NOUN,27.27,17.16,6.90,1,,,,1
banalité,banality,,,4.20,1.39,3.05,1.95,5.13,0.83,2.13,1.36,4.10,1.41,3.15,1.99,8,8,4,NOUN,0.77,5.34,,,,,,1
banane,banana,AF,16,6.89,2.02,4.47,2.87,6.71,2.23,4.00,2.89,7.05,1.88,4.86,2.87,6,5,2,NOUN,6.09,4.05,6.95,1,,,,1
banc,bench,AF,263,5.73,1.48,3.08,2.07,6.12,1.32,3.53,2.12,5.40,1.57,2.70,2.00,4,2,1,NOUN,8.96,48.31,6.44,1,,,,1
banque,bank,,,4.52,1.99,4.80,2.49,3.83,1.75,4.67,2.96,4.65,2.02,4.83,2.42,6,3,1,NOUN,70.79,25.54,5.88,,,,,1
barbe ,beard,B,23,5.16,1.83,3.59,2.55,5.35,1.97,3.06,2.73,5.00,1.75,4.05,2.37,5,4,1,NOUN,23.40,47.70,6.56,1,,,,
barre ,bar,B,25,4.86,0.82,2.57,2.01,5.00,0.71,2.47,1.94,4.75,0.91,2.65,2.11,5,3,1,NOUN,15.59,23.18,5.80,1,,,,
barrière,gate,,,3.75,1.52,3.97,2.29,3.89,1.54,5.11,2.15,3.73,1.53,3.82,2.28,8,6,2,NOUN,7.33,17.36,5.70,,,,,1
bassine,basin,AF,262,4.53,1.48,2.81,2.30,4.26,1.71,3.05,2.38,4.75,1.25,2.60,2.26,7,5,2,NOUN,1.55,6.55,3.91,1,,,,
bateau,boat,B,71,6.19,1.79,4.97,2.57,5.65,1.46,4.24,2.66,6.65,1.95,5.60,2.37,6,4,2,NOUN,106.55,61.22,6.84,1,,,,1
beau,beautiful,,,7.86,1.26,5.65,2.46,7.00,1.41,4.75,2.49,7.96,1.21,5.75,2.45,4,2,1,ADJ,281.23,270.07,4.20,,,,1,1
bébé ,baby,B,28,6.64,2.30,5.60,2.76,5.17,2.53,4.56,2.31,7.47,1.70,6.19,2.84,4,4,2,NOUN,173.82,36.22,6.63,1,,,,1
bec ,beak,B,29,4.97,1.61,3.49,2.34,5.47,1.18,3.41,1.97,4.55,1.82,3.55,2.67,3,3,1,NOUN,6.74,23.31,6.26,1,,,,
berceau,cradle,,,6.47,2.04,4.55,2.69,5.58,2.27,4.67,2.67,6.63,1.97,4.52,2.72,7,5,2,NOUN,6.72,12.43,6.70,1,,,,1
biberon ,feeding-bottle,B,34,5.84,2.19,4.41,2.69,5.94,1.68,3.29,2.42,5.75,2.59,5.35,2.60,7,6,3,NOUN,5.25,3.85,6.70,1,,,,1
bibliothèque ,bookshelf,B,35,6.00,1.75,4.00,2.78,6.24,1.68,4.29,3.18,5.80,1.82,3.75,2.45,12,10,4,NOUN,18.22,36.82,6.47,1,,,,
biche ,deer,B,36,5.76,2.06,3.97,2.82,5.76,1.44,3.29,2.71,5.75,2.51,4.55,2.86,5,3,1,NOUN,5.29,7.30,5.05,1,,,,
bien ,good,,,7.74,1.14,5.48,2.59,7.56,0.98,5.39,2.23,7.84,1.22,5.53,2.81,4,3,1,NOUN,89.61,56.89,2.30,,,,,1
bille,marble,,,5.89,1.45,3.43,2.03,6.06,1.39,4.18,1.98,5.75,1.52,2.80,1.91,5,3,1,NOUN,2.50,8.58,6.80,1,,,,
biscuit ,biscuit,B,37,7.16,1.57,5.14,2.19,7.47,1.50,5.18,2.16,6.90,1.62,5.10,2.27,7,6,2,NOUN,4.75,2.77,6.68,1,,,,
blague,joke,,,7.86,1.09,6.20,2.06,7.78,1.17,6.11,2.27,7.91,1.06,6.25,1.97,6,4,1,NOUN,60.33,16.82,3.76,,,,,
blanc,white,,,5.97,1.68,2.96,2.12,5.67,1.73,3.00,1.32,6.01,1.68,2.96,2.21,5,3,1,ADJ,53.93,152.03,5.76,,,,,1
blé ,wheat,B,39,5.34,2.04,3.05,2.00,6.24,1.64,3.47,2.12,4.62,2.09,2.71,1.87,3,3,1,NOUN,19.07,23.24,6.50,1,,,,
bleu,blue,,,7.00,1.41,4.14,2.37,7.24,1.25,5.00,2.52,6.80,1.54,3.40,2.01,4,3,1,ADJ,31.24,100.41,6.20,,,,,
bocal,jar,AF,357,5.03,1.14,2.49,2.04,5.47,1.07,2.41,1.94,4.65,1.09,2.55,2.16,5,5,2,NOUN,2.73,4.66,6.25,1,,,,
bois ,wood,,,6.02,1.73,3.82,2.41,6.06,1.39,4.44,2.38,6.00,1.92,3.47,2.40,4,3,1,NOUN,115.56,299.46,6.19,,,,,
boîte,box,AF,35,5.70,1.43,4.28,2.86,5.89,1.53,5.06,2.84,5.59,1.39,3.84,2.83,5,4,1,NOUN,74.58,94.32,6.55,1,,,,1
bol,bowl,AF,34,4.97,1.72,3.05,2.21,5.53,1.23,3.00,2.57,4.50,1.96,3.10,1.92,3,3,1,NOUN,16.93,20.07,6.67,1,,,,1
bombe ,bomb,B,40,2.87,2.02,6.18,2.71,2.94,1.60,5.94,2.79,2.81,2.34,6.38,2.69,5,3,1,NOUN,48.70,15.00,5.95,1,,,,
bonbon ,candy,B,41,7.65,1.30,5.57,2.67,7.82,1.07,5.29,2.80,7.50,1.47,5.80,2.61,6,4,2,NOUN,6.89,3.72,6.44,1,,,,
bonheur,happiness,,,8.39,1.20,7.00,2.65,7.94,1.56,5.76,3.07,8.76,0.62,8.00,1.76,7,5,2,NOUN,78.34,156.35,3.23,,,1,,1
bonhomme,fellow,,,6.00,2.04,4.00,2.28,5.65,2.03,4.18,2.67,6.30,2.05,3.86,1.96,8,5,2,NOUN,9.96,26.01,5.53,,,,,
bonnet ,hat,B,42,5.42,1.93,3.13,2.03,5.59,1.46,3.59,1.62,5.29,2.26,2.77,2.28,6,4,2,NOUN,6.62,14.66,5.93,1,,,,1
bosse ,bump,B,45,4.05,1.91,3.54,2.30,4.71,2.08,3.76,2.44,3.50,1.61,3.35,2.23,5,3,1,NOUN,6.08,6.82,5.50,1,,,,1
botte,boot,AF,31,5.68,2.04,3.39,2.19,5.29,1.79,3.29,2.20,6.00,2.21,3.48,2.23,5,3,1,NOUN,6.38,8.51,6.68,1,,,,1
bouche,mouth,,,6.57,1.68,5.30,2.81,6.41,1.50,4.06,2.82,6.70,1.84,6.35,2.39,6,3,1,NOUN,87.75,267.64,6.75,1,,,,1
boue ,mud,,,3.59,2.17,3.22,2.58,4.00,2.21,3.18,2.35,3.25,2.12,3.25,2.83,4,2,1,NOUN,15.09,52.30,6.01,,,,,
bouée ,buoy,B,47,5.47,2.23,3.59,2.43,5.24,2.31,3.25,2.29,5.67,2.20,3.86,2.56,5,3,1,NOUN,1.30,4.59,6.40,1,,,,1
bougie,candle,AF,44,6.37,2.07,3.55,2.53,6.06,2.30,3.24,2.91,6.62,1.88,3.81,2.23,6,4,2,NOUN,7.40,16.22,6.80,1,,,,1
bouilloire,kettle,,,5.03,1.38,3.94,2.32,5.17,0.58,3.67,2.61,5.00,1.48,3.98,2.29,10,6,2,NOUN,1.52,3.45,6.40,1,,,,1
