,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
caisse ,crate,B,60,4.73,1.61,3.19,2.56,5.00,2.03,3.12,2.42,4.50,1.15,3.25,2.73,6,3,1,NOUN,29.46,51.01,5.74,1,,,,
cake,fruit cake,,,6.19,1.97,4.51,2.53,5.94,1.75,4.59,2.62,6.40,2.16,4.45,2.52,4,3,1,NOUN,2.57,1.69,6.40,,,,,
calculatrice,calculator,,,4.38,1.82,3.90,2.47,4.78,2.11,3.22,1.86,4.32,1.79,3.99,2.54,12,11,4,NOUN,0.51,0.34,6.70,1,,,,1
calendrier ,calendar,B,62,5.08,1.50,3.58,2.37,4.50,1.50,3.56,1.98,5.41,1.41,3.59,2.59,10,9,4,NOUN,5.37,12.84,6.61,1,,,,
calme,quietness,,,7.32,1.49,3.24,2.66,7.65,1.11,3.65,2.45,7.05,1.73,2.90,2.85,5,4,1,NOUN,105.08,52.03,3.22,,1,1,1,1
calorie,calorie,,,3.27,2.02,4.87,2.56,4.75,1.98,3.38,2.26,3.10,1.97,5.04,2.55,7,6,3,NOUN,0.15,0.00,2.50,,,,,1
caméra,camera,,,5.75,1.42,4.55,2.25,5.42,1.31,4.25,2.53,5.82,1.43,4.60,2.21,6,6,3,NOUN,41.64,4.39,6.72,1,,,,1
camion,truck,AF,242,4.49,1.88,3.22,2.33,4.59,2.00,3.65,2.34,4.40,1.82,2.85,2.32,6,5,2,NOUN,50.06,30.27,6.73,1,,,,1
canapé,couch,AF,67,6.41,1.88,3.38,2.42,6.24,1.82,3.24,2.84,6.55,1.96,3.50,2.06,6,6,3,NOUN,17.66,17.97,5.63,1,,,,1
canard,duck,AF,81,5.14,1.89,3.41,2.81,5.41,1.70,2.71,2.73,4.90,2.05,4.00,2.81,6,5,2,NOUN,15.46,16.15,6.81,1,,,,1
canne ,cane,B,66,4.22,2.10,3.08,2.53,4.29,2.08,3.12,2.26,4.15,2.16,3.05,2.80,5,3,1,NOUN,10.21,26.62,6.20,1,,,,1
canon,cannon,,,4.78,2.57,5.95,2.76,4.89,2.37,6.11,2.71,4.76,2.62,5.93,2.79,5,4,2,NOUN,14.89,28.65,6.22,1,,,,1
capacité,capacity,,,7.19,1.59,5.19,2.37,6.50,1.77,4.50,2.39,7.27,1.57,5.27,2.37,8,8,4,NOUN,9.42,8.38,2.26,,,,,1
cape,cape,,,5.97,1.79,4.00,2.69,6.06,1.64,4.29,2.76,5.90,1.94,3.75,2.67,4,3,1,NOUN,5.40,10.34,5.65,1,,,,
capuche ,hood,B,68,5.19,1.60,3.22,2.45,5.47,1.55,2.88,2.37,4.95,1.64,3.50,2.54,7,5,2,NOUN,1.53,0.61,4.87,1,,,,
caravane,trailer,,,5.17,1.69,4.40,2.40,5.33,2.06,4.42,3.23,5.14,1.63,4.40,2.24,8,7,3,NOUN,10.34,5.14,5.33,1,,,,1
carnet ,pad,B,73,4.46,1.95,3.03,2.23,4.35,2.37,2.88,2.37,4.55,1.57,3.15,2.16,6,5,2,NOUN,11.06,24.66,6.04,1,,,,
carotte,carrot,AF,48,5.96,1.91,3.88,2.29,5.50,1.79,4.17,2.26,6.22,1.95,3.72,2.33,7,5,2,NOUN,2.45,2.97,6.98,1,,,,1
carré,square,,,5.28,1.18,2.80,2.11,5.50,1.29,3.72,2.32,5.16,1.11,2.28,1.82,5,4,2,NOUN,3.48,25.07,6.22,,,,,1
carrosse ,carriage,B,74,5.59,1.82,3.46,2.52,5.00,1.97,3.41,2.55,6.10,1.55,3.50,2.56,8,5,2,NOUN,2.59,3.72,5.91,1,,,,
cartable,schoolbag,,,4.88,1.08,3.65,2.06,4.78,1.09,4.22,1.86,4.90,1.08,3.57,2.08,8,7,2,NOUN,1.54,9.32,6.53,1,,,,1
carte ,playing card,B,75,6.14,1.23,3.86,2.62,6.00,1.06,4.06,2.68,6.25,1.37,3.70,2.62,5,4,1,NOUN,96.11,60.95,6.38,1,,,,1
cartouche  ,cartridge,B,76,4.50,1.96,3.95,3.01,4.82,2.19,4.76,3.35,4.24,1.76,3.29,2.61,9,6,2,NOUN,1.76,2.91,5.36,1,,,,
case,square,,,4.68,1.45,2.97,2.27,5.35,1.00,3.12,2.26,4.10,1.55,2.85,2.32,4,3,1,NOUN,4.41,9.46,4.50,,,,,
casque,helmet,AF,96,5.30,1.39,3.59,2.52,5.35,1.22,3.24,2.51,5.25,1.55,3.90,2.55,6,4,1,NOUN,12.11,21.62,6.55,1,,,,1
casquette,cap,AF,46,5.18,1.97,3.16,2.19,5.24,1.52,3.12,2.23,5.14,2.31,3.19,2.20,9,6,2,NOUN,8.64,34.39,6.85,1,,,,1
casserole,pot,AF,179,4.65,1.90,3.11,2.00,4.59,1.87,3.18,2.16,4.70,1.98,3.05,1.90,9,7,3,NOUN,2.91,16.22,6.33,1,,,,1
cassette ,cassette,B,78,5.19,1.78,3.19,2.05,5.06,2.01,3.41,2.09,5.30,1.59,3.00,2.05,8,5,2,NOUN,23.55,4.05,6.52,1,,,,1
castor,beaver,,,5.67,1.64,3.78,2.26,5.38,0.74,2.75,1.98,5.70,1.71,3.90,2.28,6,6,2,NOUN,2.40,1.08,6.81,1,,,,1
catalyse,catalysis,,,4.54,1.70,4.08,2.27,4.67,1.44,3.25,2.09,4.52,1.75,4.23,2.28,,,,NOUN,,,,,,,,1
catholique,Catholic,,,4.61,1.85,3.94,2.51,3.78,1.92,5.33,2.78,4.72,1.83,3.75,2.43,10,7,3,NOUN,2.57,5.95,,,,,,1
cauchemar,nightmare,,,2.08,1.69,6.27,2.51,2.71,2.02,5.88,1.90,1.55,1.15,6.60,2.95,9,7,3,NOUN,26.80,19.66,4.33,,,,,1
ceinture,belt,AF,26,5.40,1.34,3.30,2.28,5.83,1.54,4.33,2.45,5.16,1.17,2.72,1.99,8,5,2,NOUN,19.41,32.23,6.62,1,,,,1
céleri,celery,,,4.54,1.85,2.96,1.96,4.25,1.49,2.75,1.98,4.58,1.89,2.99,1.97,6,6,3,NOUN,1.43,0.81,6.79,1,,,,1
cendrier,ashtray,AF,10,3.27,2.27,4.86,2.71,3.18,2.16,5.29,2.62,3.35,2.41,4.50,2.80,8,7,3,NOUN,3.86,10.95,6.60,1,,,,1
cercle ,circle,B,81,5.47,1.36,3.03,2.25,5.56,1.87,3.06,2.30,5.40,0.75,3.00,2.27,6,5,1,NOUN,17.77,42.43,6.53,1,,,,
cerf,deer,AF,71,6.46,1.37,4.08,2.45,6.59,1.28,4.41,2.06,6.35,1.46,3.80,2.76,4,3,1,NOUN,6.17,20.27,6.43,1,,,,1
cerf-volant,kite,AF,129,5.92,1.71,3.97,2.44,6.00,1.58,3.06,2.16,5.85,1.84,4.75,2.45,11,7,3,NOUN,1.40,1.22,6.86,1,,,,
cerise,cherry,AF,54,7.24,1.92,5.08,2.35,7.35,1.66,4.71,2.47,7.15,2.16,5.40,2.26,6,5,2,NOUN,2.75,3.31,6.84,1,,,,1
certain,sure,,,6.00,1.60,4.27,2.23,6.08,1.31,4.42,2.39,5.98,1.65,4.25,2.22,7,5,2,ADJ,65.20,102.16,,,,,,1
cerveau,brain,,,6.71,1.53,5.21,2.57,7.00,1.41,4.00,2.12,6.68,1.55,5.37,2.59,7,5,2,NOUN,57.67,28.92,6.48,1,,,,1
chagrin,grief,,,1.90,1.20,4.10,2.95,2.67,1.46,4.78,2.39,1.47,0.76,3.72,3.20,7,5,2,NOUN,20.39,38.72,3.87,,,1,,1
chaîne,chain,AF,52,4.24,1.92,3.63,2.32,3.76,1.56,4.71,2.44,4.62,2.13,2.76,1.84,6,3,1,NOUN,28.40,43.24,6.27,1,,,,1
chaise,chair,AF,53,5.41,1.40,2.76,1.75,5.76,1.20,3.12,2.03,5.10,1.52,2.45,1.47,6,3,1,NOUN,32.70,86.35,6.85,1,,,,1
chaleur,heat,,,7.16,1.72,5.43,2.85,6.53,1.62,4.24,2.75,7.70,1.66,6.45,2.58,7,5,2,NOUN,38.77,112.23,4.20,,,,,1
chambre,room,,,7.14,1.51,4.94,2.94,7.00,1.53,5.78,2.56,7.22,1.52,4.47,3.08,7,4,1,NOUN,263.93,380.07,6.15,,,,,
chameau,camel,AF,43,5.68,1.86,4.19,2.96,5.18,1.33,3.59,2.92,6.10,2.15,4.70,2.98,7,4,2,NOUN,7.21,5.41,6.72,1,,,,1
champ ,field,,,6.22,1.68,4.00,2.45,5.89,1.45,4.50,2.31,6.41,1.79,3.72,2.52,5,2,1,NOUN,38.05,51.76,6.28,1,,,,
champignon,mushroom,AF,150,5.41,2.20,3.53,2.71,5.59,1.94,3.59,2.92,5.25,2.45,3.47,2.59,10,6,3,NOUN,3.34,3.99,6.69,1,,,,1
chance,chance,,,7.76,1.55,6.54,2.60,7.33,1.46,5.89,2.81,8.00,1.57,6.91,2.44,6,3,1,NOUN,334.02,114.05,2.63,,,,,
changement,change,,,5.89,1.74,6.27,2.16,5.50,0.76,4.63,2.62,5.93,1.82,6.45,2.05,10,6,3,NOUN,27.00,26.28,2.62,,,,,1
chant,melody,,,6.66,1.66,5.00,2.32,6.44,1.79,4.67,2.38,6.78,1.60,5.19,2.31,5,2,1,NOUN,17.64,28.38,4.84,,,,,1
chaos,chaos,,,2.05,1.83,6.78,2.64,4.17,2.59,7.00,2.04,1.66,1.36,6.74,2.75,5,3,2,NOUN,11.30,10.20,3.51,,,,,1
chapeau,hat,AF,118,5.46,1.95,2.92,2.37,5.94,1.52,3.35,2.55,5.05,2.21,2.55,2.21,7,4,2,NOUN,48.61,72.91,6.76,1,,,,1
chariot,cart,,,4.92,1.16,3.47,2.03,5.11,0.33,4.33,2.00,4.90,1.22,3.35,2.02,7,5,2,NOUN,12.12,8.45,6.30,,,,,1
charrette,wagon,AF,249,5.28,1.40,3.56,2.15,5.28,1.56,4.00,2.11,5.28,1.33,3.31,2.16,9,5,2,NOUN,6.63,16.82,6.19,1,,,,
chasse,hunting,,,3.27,2.45,4.05,2.91,4.29,2.42,3.82,2.94,2.40,2.16,4.25,2.94,6,3,1,NOUN,46.80,53.38,5.40,,,,,1
chat,cat,AF,49,6.26,2.56,5.21,2.52,5.71,2.52,5.35,2.50,6.71,2.57,5.10,2.59,4,2,1,NOUN,57.71,59.26,6.91,1,,,,1
châtaigne,chestnut,B,186,6.18,2.00,3.95,2.60,6.12,1.76,3.88,2.67,6.24,2.21,4.00,2.61,9,5,2,NOUN,0.55,0.88,3.36,1,,,,
château ,castle,B,86,6.86,1.57,5.52,2.39,7.00,1.57,6.06,2.48,6.78,1.58,5.22,2.32,7,4,2,NOUN,40.51,63.38,6.84,1,,,,
chaud,warm,,,7.37,1.23,5.22,2.50,5.75,1.39,4.75,2.05,7.55,1.08,5.27,2.55,5,2,1,ADJ,50.20,46.42,4.80,,,,,1
chaussette,sock,AF,211,4.68,1.93,2.54,2.19,4.29,1.76,3.00,2.32,5.00,2.05,2.15,2.06,10,5,2,NOUN,3.29,4.39,6.57,1,,,,1
chaussure,shoe,AF,204,6.92,2.14,4.53,3.16,6.24,1.82,3.18,2.32,7.48,2.25,5.62,3.37,9,5,2,NOUN,12.49,8.78,6.66,1,,,,1
cheminée,chimney,AF,270,6.16,2.22,4.08,2.73,6.24,1.92,3.35,2.45,6.10,2.49,4.67,2.87,8,6,3,NOUN,9.99,36.28,6.70,1,,,,1
chemise,shirt,AF,203,5.92,1.69,3.41,2.25,6.18,1.78,3.65,2.21,5.70,1.63,3.20,2.33,7,5,2,NOUN,36.48,74.59,6.70,1,,,,1
chemisier,blouse,AF,29,6.32,1.77,4.26,2.64,6.41,1.97,4.82,3.32,6.24,1.64,3.81,1.89,9,7,3,NOUN,3.77,6.76,5.14,1,,,,1
chenille,caterpillar,AF,50,4.24,2.19,4.14,2.74,4.56,2.23,4.78,2.58,4.06,2.18,3.78,2.80,8,5,2,NOUN,1.38,2.50,6.71,1,,,,1
cheval,horse,AF,121,6.02,2.13,4.86,2.49,4.83,1.58,4.22,1.83,6.69,2.13,5.22,2.76,6,5,2,NOUN,85.42,110.27,6.90,1,,,,1
cheveux,hair,AF,113,6.42,2.16,3.89,2.37,6.00,2.06,3.58,2.35,6.76,2.23,4.14,2.41,6,4,2,NOUN,5.11,7.50,6.60,1,,,,1
chèvre,goat,AF,107,5.31,2.16,3.56,2.72,5.81,1.42,2.94,2.49,4.90,2.57,4.05,2.86,6,4,1,NOUN,8.26,10.14,6.94,1,,,,1
chien,dog,AF,73,6.71,2.12,4.97,3.08,6.53,2.29,4.65,2.91,6.86,2.01,5.24,3.25,5,3,1,NOUN,158.77,117.64,6.97,1,,,,1
chiffre,number,,,4.68,1.94,3.81,2.54,5.18,2.19,4.00,2.45,4.25,1.65,3.65,2.66,7,4,1,NOUN,9.38,12.70,5.50,,,,,
chignon ,bun,B,87,5.19,1.80,3.57,2.22,4.71,1.45,3.12,1.76,5.58,1.99,3.93,2.52,7,4,2,NOUN,1.29,11.76,5.15,1,,,,
chiot,puppy,,,7.34,1.78,6.06,2.44,6.39,1.88,4.44,2.43,7.88,1.50,6.97,1.94,5,3,1,NOUN,3.98,1.49,6.39,,,,,
chips,potato chip,,,6.84,1.80,5.03,2.43,6.94,1.78,5.12,2.26,6.75,1.86,4.95,2.63,5,4,1,NOUN,6.72,0.95,6.70,,,,,
chocolat,chocolate,,,7.68,1.39,6.12,2.50,7.22,1.52,5.94,2.69,7.94,1.27,6.22,2.43,8,6,3,NOUN,27.74,30.61,6.58,,,,,1
chou,cabbage,AF,137,5.54,2.19,3.73,2.61,5.12,2.12,3.41,2.35,5.90,2.25,4.00,2.85,4,2,1,NOUN,25.50,13.99,6.20,1,,,,
cicatrice ,scar,B,91,2.97,1.86,4.59,2.66,3.41,2.12,5.00,2.42,2.60,1.57,4.25,2.86,9,8,3,NOUN,7.58,6.28,6.02,1,,,,
ciel,sky,,,7.11,1.74,4.27,2.67,7.47,1.42,5.24,2.82,6.81,1.96,3.45,2.31,4,4,1,NOUN,142.22,301.76,6.69,,,,,1
cigale,cicada,,,5.65,2.37,4.22,2.45,5.71,2.44,4.47,2.40,5.60,2.37,4.00,2.53,6,5,2,NOUN,1.43,1.15,5.77,1,,,,1
cigare,cigar,AF,58,4.05,2.61,4.86,2.51,4.82,2.56,5.06,2.25,3.40,2.54,4.70,2.75,6,5,2,NOUN,10.63,17.70,6.69,1,,,,1
cigarette,cigarette,AF,59,3.52,2.68,3.62,2.83,4.22,2.44,5.06,2.69,3.13,2.77,2.81,2.61,9,7,3,NOUN,39.22,77.57,6.85,1,,,,1
cil,eyelash,,,5.30,1.28,3.36,2.28,5.00,1.24,3.78,2.34,5.47,1.29,3.13,2.25,3,3,1,NOUN,0.77,2.16,6.60,,,,,
cintre,coat-hanger,AF,116,4.65,1.25,2.51,2.12,4.41,1.42,2.65,2.06,4.85,1.09,2.40,2.21,6,4,1,NOUN,0.57,2.91,4.90,1,,,,1
circuit ,circuit,B,92,5.49,1.54,4.05,2.54,5.41,0.94,3.41,2.27,5.55,1.93,4.60,2.68,7,6,2,NOUN,7.00,7.77,4.53,1,,,,
cirque,circus,,,6.57,2.13,5.57,2.53,7.12,1.76,4.88,2.74,6.10,2.34,6.15,2.25,6,4,1,NOUN,22.95,18.38,6.60,1,,,,
ciseaux,scissors,AF,197,4.49,1.54,2.95,2.13,4.41,1.42,2.65,2.00,4.55,1.67,3.20,2.26,6,4,2,NOUN,0.86,2.84,6.87,1,,,,1
cité,city,,,4.70,1.33,4.47,2.37,4.00,1.87,5.11,3.18,4.79,1.23,4.38,2.25,4,4,2,NOUN,14.55,20.68,5.18,,,,,1
citoyen,citizen,,,6.19,1.36,4.23,2.04,5.75,1.49,3.00,2.14,6.24,1.35,4.37,2.00,7,7,3,NOUN,11.61,5.20,4.19,,,,,1
citron,lemon,AF,135,4.95,1.99,4.49,2.56,5.35,1.62,4.53,2.62,4.60,2.23,4.45,2.56,6,5,2,NOUN,8.10,9.05,6.95,1,,,,1
citrouille,pumpkin,AF,181,5.26,1.91,3.37,2.14,4.71,1.83,3.41,1.94,5.71,1.90,3.33,2.33,10,6,2,NOUN,1.56,2.43,6.94,1,,,,1
clair,light,,,6.83,1.49,3.97,2.06,7.00,1.28,4.42,2.31,6.80,1.53,3.89,2.02,5,4,1,ADJ,88.54,91.01,4.30,,,,,1
classe,class,,,5.31,1.56,3.94,2.07,5.33,1.00,4.56,2.19,5.31,1.62,3.85,2.06,6,4,1,NOUN,70.46,90.74,5.63,,,,,1
classeur ,box file,B,94,4.26,1.88,2.71,1.99,4.59,2.03,2.88,1.83,4.00,1.76,2.57,2.13,8,6,2,NOUN,0.56,1.35,5.93,1,,,,1
classique,classic,,,5.18,1.39,3.35,1.87,5.00,0.93,3.13,1.89,5.20,1.44,3.38,1.88,9,6,2,ADJ,13.74,15.81,,,,,1,1
clef,key,AF,128,5.62,1.50,3.14,2.14,5.76,1.71,3.53,2.18,5.50,1.32,2.80,2.09,4,3,1,NOUN,14.61,35.61,6.28,1,,,,1
clémence,clemency,,,6.82,1.73,3.57,2.15,6.67,1.37,3.83,2.52,6.84,1.80,3.52,2.09,8,6,2,NOUN,3.44,2.43,2.23,,,,,1
cloche,bell,AF,25,5.16,1.94,3.22,2.29,5.35,2.12,3.71,2.14,5.00,1.81,2.80,2.38,6,4,1,NOUN,9.01,18.24,6.52,1,,,,1
clou,nail,AF,151,4.26,1.77,3.11,2.19,5.12,1.58,3.59,2.09,3.57,1.63,2.71,2.24,4,3,1,NOUN,7.79,10.20,6.47,1,,,,1
clown,clown,AF,63,4.55,2.44,4.47,2.90,4.82,2.30,4.53,2.72,4.33,2.58,4.43,3.11,5,4,1,NOUN,0.06,6.49,6.87,1,,,,1
coccinelle,ladybug,AF,361,7.19,1.56,4.32,2.63,7.18,1.33,4.71,2.37,7.20,1.77,4.00,2.85,10,8,3,NOUN,1.15,1.35,6.71,1,,,,1
cochon,pig,AF,172,5.48,1.75,3.86,2.27,5.50,1.79,4.17,2.31,5.47,1.76,3.69,2.26,6,4,2,NOUN,21.67,12.70,6.89,1,,,,1
code,code,,,4.94,1.29,4.22,2.29,4.56,2.19,4.44,2.51,4.99,1.14,4.19,2.27,4,3,1,NOUN,43.85,13.58,4.70,,,,,1
coeur,heart,AF,119,7.03,2.10,5.81,2.63,6.12,2.32,5.29,2.26,7.80,1.58,6.25,2.90,5,3,1,NOUN,224.98,380.07,6.70,1,,,,1
coffre,safe,B,285,5.73,1.81,4.00,2.47,6.06,1.98,3.65,2.76,5.45,1.64,4.30,2.23,6,4,1,NOUN,35.97,25.14,6.40,1,,,,1
coin,corner,,,4.50,1.13,3.02,2.16,4.44,1.10,3.61,2.23,4.53,1.16,2.69,2.09,4,3,1,NOUN,93.43,167.09,5.73,,,,,
col ,collar,,,4.97,0.99,2.81,2.18,4.94,1.25,2.88,2.20,5.00,0.73,2.75,2.22,3,3,1,NOUN,8.35,51.82,5.40,1,,,,
colère,anger,,,2.78,2.06,6.28,2.50,3.71,2.47,6.35,1.87,2.00,1.21,6.22,2.98,6,5,2,NOUN,67.91,92.77,4.32,,,1,,1
colle ,glue,,,4.86,1.25,3.19,2.12,5.24,0.90,3.53,2.27,4.55,1.43,2.90,2.00,5,3,1,NOUN,7.95,7.43,6.14,1,,,,
collier,necklace,AF,153,6.49,1.56,4.70,1.91,5.88,1.65,4.18,1.78,7.00,1.30,5.15,1.95,7,5,2,NOUN,17.79,14.80,6.67,1,,,,1
colonne,column,B,96,4.97,0.99,2.14,1.67,4.71,1.26,2.12,1.73,5.20,0.62,2.15,1.66,7,5,2,NOUN,9.24,25.95,5.83,1,,,,
commerce,business,,,5.24,1.81,4.91,2.53,5.25,0.46,3.00,1.85,5.24,1.90,5.13,2.52,8,6,2,NOUN,18.55,29.05,3.56,,,,,1
commode,dresser,AF,79,4.76,1.61,3.22,2.56,4.47,2.12,3.53,2.60,5.00,0.97,2.95,2.56,7,5,2,NOUN,3.21,10.88,4.98,1,,,,1
compas,compass,,,4.52,1.29,3.48,2.10,4.75,0.87,3.33,2.19,4.48,1.36,3.51,2.10,6,4,2,NOUN,1.50,2.84,5.66,1,,,,1
composition,composition,,,6.38,1.45,4.49,2.37,6.44,1.51,3.78,2.33,6.37,1.45,4.59,2.38,11,9,4,NOUN,3.56,14.59,3.01,,,,,1
concept,concept,,,5.77,1.39,4.20,2.30,5.63,1.41,3.13,2.03,5.79,1.39,4.32,2.31,7,6,2,NOUN,7.63,2.03,2.23,,,,,1
concombre,cucumber,,,5.61,1.73,3.64,2.09,5.67,1.50,4.50,2.39,5.60,1.77,3.49,2.02,9,6,2,NOUN,1.82,1.15,6.89,1,,,,1
confort,comfort,,,7.90,1.21,2.70,2.19,7.89,1.05,2.56,1.59,7.90,1.24,2.72,2.26,7,5,2,NOUN,5.97,16.62,3.84,,,,,1
conseil,advice,,,6.34,1.76,4.24,2.22,5.65,1.73,3.88,2.15,6.90,1.61,4.52,2.29,7,5,2,NOUN,68.86,58.18,3.10,,,,,1
conte ,story,,,6.92,1.52,4.73,2.08,6.88,1.54,4.88,2.45,6.95,1.54,4.60,1.76,5,3,1,NOUN,8.84,6.69,4.04,,,,,
coq,rooster,AF,191,4.46,1.85,2.92,2.19,4.76,1.60,3.65,1.93,4.20,2.04,2.30,2.25,3,3,1,NOUN,10.74,15.68,6.87,1,,,,1
coquillage ,shell,B,98,6.50,1.64,4.26,2.62,5.50,1.69,3.67,2.28,7.06,1.34,4.59,2.78,10,7,3,NOUN,0.77,3.51,6.64,1,,,,1
cor,horn,,,4.34,1.76,3.88,2.11,4.43,1.40,3.24,1.90,4.33,1.80,3.95,2.13,3,3,1,NOUN,2.57,2.36,3.00,1,,,,1
corbeille,basket,,,4.11,1.58,3.00,1.90,4.71,1.10,3.29,1.86,3.60,1.76,2.75,1.94,9,6,2,NOUN,2.30,15.68,6.19,,,,,
corde,rope,AF,306,3.34,1.94,3.18,2.10,3.41,1.91,3.35,2.21,3.29,2.00,3.05,2.06,5,4,1,NOUN,28.89,31.76,6.54,1,,,,
corne ,horn,B,99,4.82,2.19,3.92,2.79,5.47,2.12,4.65,2.78,4.29,2.15,3.33,2.73,5,4,1,NOUN,2.63,9.80,5.82,1,,,,1
costume,suit,,,5.74,1.42,4.57,2.27,6.17,1.40,4.25,2.53,5.66,1.42,4.63,2.23,7,6,2,NOUN,38.95,44.19,5.50,,,,,1
cou ,neck,B,100,5.59,2.27,4.41,3.06,5.76,1.79,4.06,3.23,5.45,2.65,4.70,2.96,3,2,1,NOUN,43.71,112.70,6.59,1,,,,1
coude ,elbow,,,4.73,1.37,3.08,2.23,5.06,1.25,3.41,2.15,4.45,1.43,2.80,2.31,5,3,1,NOUN,5.36,33.24,6.38,,,,,
couleur,color,,,7.24,1.62,4.74,2.69,6.65,1.58,4.06,2.61,7.71,1.52,5.29,2.69,7,5,2,NOUN,57.46,118.65,5.00,,,,,1
cour,playground,,,5.26,1.40,3.88,2.03,5.11,1.23,4.06,1.70,5.34,1.49,3.78,2.21,4,3,1,NOUN,71.80,150.14,5.43,,,,,
courage,bravery,,,6.89,1.84,5.31,2.46,7.06,1.68,5.00,2.76,6.75,2.00,5.57,2.21,7,5,2,NOUN,70.70,69.80,3.00,,,,,1
couronne,crown,AF,69,5.53,1.97,4.24,2.39,5.65,1.66,4.06,2.22,5.43,2.23,4.38,2.56,8,5,2,NOUN,15.16,12.50,6.49,1,,,,1
cours,lesson,,,5.18,1.35,4.05,2.05,5.25,0.46,3.00,1.77,5.17,1.41,4.17,2.06,5,3,1,NOUN,143.05,176.76,4.89,,,,,1
course,race,,,5.86,2.09,5.48,2.80,6.83,1.98,6.50,2.64,5.31,1.97,4.91,2.76,6,4,1,NOUN,40.45,51.22,5.41,,,,,
court,short,,,4.57,1.49,3.84,1.81,5.17,1.34,3.75,2.42,4.46,1.50,3.86,1.70,5,3,1,ADJ,17.42,39.86,3.70,,,,,1
couteau,knife,AF,130,3.74,2.26,4.74,2.88,3.76,2.22,5.29,2.85,3.71,2.35,4.29,2.90,7,4,2,NOUN,51.08,44.26,6.58,1,,,,1
coutume,custom,,,6.06,1.31,4.49,2.29,6.00,1.41,4.44,1.88,6.07,1.31,4.50,2.35,7,5,2,NOUN,7.27,17.03,3.43,,,,,1
crabe,crab,AF,339,6.24,1.94,4.76,2.72,6.88,1.73,5.24,2.44,5.70,1.98,4.35,2.94,5,4,1,NOUN,4.90,7.30,6.67,1,,,,1
craie ,chalk,,,4.70,1.20,2.95,1.93,4.47,1.07,2.47,1.84,4.90,1.29,3.35,1.95,5,3,1,NOUN,5.66,10.20,6.40,1,,,,
crainte,fear,,,2.33,1.25,5.82,2.38,3.13,1.55,4.38,2.56,2.24,1.19,5.99,2.32,7,4,1,NOUN,11.39,45.61,3.00,,,,,1
crâne,skull,,,4.60,1.58,4.01,2.23,5.17,1.40,4.08,2.54,4.49,1.60,4.00,2.19,5,4,1,NOUN,26.88,52.23,6.62,1,,,,1
cravate,tie,AF,232,5.24,2.11,3.89,2.88,5.12,2.06,3.24,2.80,5.35,2.21,4.45,2.89,7,6,2,NOUN,15.99,27.70,6.79,1,,,,1
crayon,pencil,AF,168,5.24,2.05,3.55,2.33,5.65,2.06,3.35,2.45,4.90,2.02,3.71,2.28,6,5,2,NOUN,8.08,25.47,6.67,1,,,,1
création,creation,,,7.62,1.24,6.14,2.28,7.11,1.45,5.22,2.54,7.69,1.20,6.27,2.24,8,7,3,NOUN,9.74,17.50,3.39,,,,,1
crèche,day-care center,,,5.55,2.13,3.95,2.64,5.47,1.50,3.82,2.46,5.62,2.56,4.05,2.84,6,4,1,NOUN,3.46,8.31,6.20,,,,,
crème,cream,,,6.27,1.71,4.08,2.33,6.24,2.11,4.18,2.48,6.30,1.34,4.00,2.25,5,4,1,NOUN,19.72,20.95,5.84,,,,,
crêpe ,pancake,B,103,7.82,1.55,6.14,2.43,7.50,1.34,5.94,2.34,8.00,1.65,6.25,2.51,5,4,1,NOUN,3.27,6.01,6.52,1,,,,
creux,cavity,,,4.00,1.41,3.61,1.79,3.88,1.46,3.13,1.89,4.01,1.42,3.66,1.79,5,3,1,NOUN,2.83,49.93,4.50,,,,,1
crevette ,shrimp,B,105,4.89,2.18,3.76,2.60,5.06,1.71,3.65,2.80,4.75,2.55,3.85,2.48,8,6,2,NOUN,1.13,1.62,6.58,1,,,,
cricket,cricket,,,4.73,1.63,3.83,2.07,5.50,1.73,4.42,2.97,4.58,1.58,3.72,1.88,7,6,2,NOUN,2.92,0.41,,,,,,1
crise,crisis,,,2.04,1.21,6.23,2.63,3.11,1.36,4.56,2.74,1.90,1.12,6.46,2.55,5,4,1,NOUN,43.51,37.97,4.34,,,,,1
crocodile,crocodile,AF,3,4.45,1.91,5.08,2.84,4.47,1.66,5.06,2.93,4.43,2.13,5.10,2.84,9,8,3,NOUN,6.14,4.05,6.86,1,,,,1
croissant,croissant,AF,373,7.08,1.79,4.32,2.66,6.94,1.82,4.53,2.50,7.20,1.79,4.15,2.83,9,6,2,NOUN,1.54,6.96,6.44,1,,,,
croix ,cross,B,107,4.35,2.10,3.68,2.71,4.71,2.11,4.29,2.89,4.05,2.09,3.15,2.50,5,4,1,NOUN,29.10,71.62,6.60,1,,,,
